ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2025,16.539,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Total,2025,22.22,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Basic,2025,23.507,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Intermediate,2025,41.34,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Advanced,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 20-24,Education (Aggregate levels): Level not stated,2025,21.882,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Total,2025,17.834,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Basic,2025,31.878,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2025,27.596,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 25-29,Education (Aggregate levels): Level not stated,2025,17.731,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2025,19.323,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Male,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2025,19.144,,,,Repository: ILO-STATISTICS - Micro data processing
